,lon,lat
186,150.71525878,-34.81576103
187,150.90504949,-33.8754089
188,151.43259,-33.44790883
189,152.20728381,-30.43562571
190,148.48652165,-31.38335319
191,152.9643438,-30.46728047
192,149.85246275,-33.72349068
193,151.48763629,-33.09864525
194,153.07056378,-29.6125871
195,148.68864763,-36.01676473
196,149.84160622,-31.27849124
197,150.15251526,-33.49579499
198,151.62129777,-32.76484418
199,151.07555617,-33.94219243
200,150.95612912,-33.43739595
201,146.64402668,-35.91960705
202,146.39145492,-31.55593939
203,145.81449214,-35.65650013
204,148.30465914,-34.3091307
205,151.11487054,-29.25010426
206,152.54624678,-32.01540025
207,150.00002996,-36.40786744
208,150.334123,-34.56409868
209,150.43280341,-33.70881578
210,151.23190445,-33.93891575
211,147.82030226,-31.7021803
212,146.28445294,-32.15336176
