,lon,lat
78,150.56315092,-35.18129983
79,152.01752906,-29.02058106
80,147.14550383,-34.82473937
81,151.95333561,-32.00116379
82,152.44581048,-28.46279957
83,144.9599604,-35.54361805
84,150.86377367,-33.95383884
85,150.11934507,-36.15628444
86,151.60539012,-31.01697215
87,150.45267096,-35.35357694
88,148.9223924,-32.56712976
89,149.14760019,-36.21740389
90,151.09865162,-33.70369141
91,143.38680686,-31.58384402
92,152.84923015,-31.0837262
93,153.55678754,-28.36570949
94,151.2303879,-33.936761
95,147.53780426,-34.44524464
96,150.36632519,-34.53414784
97,151.14124018,-33.9128172
98,148.70408772,-33.82423428
99,150.56644031,-34.06601136
100,148.25544457,-36.39334288
101,148.1101231,-30.03881278
102,150.36873528,-30.14536788
103,149.77251308,-31.87521435
104,146.88455167,-29.96252311
105,151.47869348,-30.6254303
106,151.7484006,-29.74042505
107,149.01140749,-34.40581183
108,151.07068689,-33.96317992
109,150.80554726,-31.73558336
110,151.24426221,-32.92264252
111,150.99284216,-33.87089157
112,148.93349854,-30.22217425
113,147.00137946,-35.64488427
114,150.91279737,-33.69936256
115,146.4473148,-30.80202083
116,151.4740169,-33.36350481
117,149.46491663,-34.43561405
118,152.51223357,-32.16532711
119,148.53118292,-34.02833382
120,142.40624907,-32.3359944
121,152.97943057,-28.59407226
122,147.59372551,-34.86879844
123,151.89739887,-32.72235685
124,149.20580501,-33.55450234
125,150.16256702,-33.50556451
126,150.89978857,-32.25973183
127,148.00600134,-33.38229295
128,151.27565866,-33.74836473
129,150.80698373,-33.76281015
130,153.58622822,-28.66128514
131,143.58314605,-34.60126101
132,150.59966564,-29.55897817
133,149.86247558,-33.70511835
134,147.83217199,-31.68200133
135,152.56815777,-30.87346648
136,150.27966172,-29.09419529
137,152.66636789,-30.31904455
138,148.63367023,-31.6956051
139,151.36755514,-32.6633322
140,144.86258851,-33.71515369
141,151.66967279,-30.51206021
142,149.98851653,-32.83026003
143,149.19641112,-36.91554619
144,149.79410814,-35.47735823
145,147.82016167,-33.98066312
146,149.02559941,-29.00332874
147,152.70564215,-29.53564213
148,146.25431185,-35.47538225
149,153.0273483,-30.90145213
150,152.44143203,-31.89464172
151,146.72734588,-35.21849501
152,150.82291512,-33.65387121
153,150.87358587,-34.44193243
154,150.9353064,-33.86942753
155,153.16825184,-30.09945044
156,146.39390685,-34.55134288
157,148.02613261,-34.64221865
158,151.43160186,-33.28734812
159,146.3465139,-33.25195879
160,150.64504351,-33.89051534
161,151.62036164,-33.04577515
162,147.14501937,-33.06985759
163,147.17281698,-31.56013839
164,145.8935595,-34.83051665
165,152.84044546,-31.56666654
166,150.00601897,-36.4041749
167,150.73943688,-30.7432333
168,148.5553767,-29.5469281
169,148.80382475,-33.10249295
170,151.94719387,-32.4065317
171,153.37990318,-29.07707441
172,152.77445011,-31.64418137
173,150.36292826,-32.13869718
174,150.83502798,-34.69058431
175,153.04349488,-28.86454405
176,150.74548828,-34.95888863
177,151.75238672,-32.92040526
178,150.99510494,-33.7300527
179,146.7747815,-34.31477218
180,152.71634937,-31.44667871
181,148.19946322,-32.72626469
182,145.14271575,-30.65496361
183,144.21269366,-32.92521881
184,151.16118469,-33.73747642
185,149.42040185,-30.21916424
186,141.829873,-29.52113009
187,153.24533931,-28.62061484
188,148.68560992,-34.49913987
189,146.00893565,-35.97739557
190,151.34870142,-32.83428804
191,151.652115,-32.78918673
192,151.51600129,-33.24547945
193,149.81714142,-36.67977238
194,142.76022992,-34.54455722
195,151.32864627,-33.50678459
196,153.36395778,-28.34181966
197,150.57854633,-33.7159059
198,148.61692248,-32.25563986
199,151.17165741,-32.54618391
200,141.95981682,-34.06810905
201,148.09572221,-35.05845265
202,152.50650231,-32.3601126
203,150.13319645,-35.88017374
204,149.02480478,-30.85712215
205,150.26096214,-34.64132515
206,150.9601092,-33.39415685
207,150.67851655,-31.29313336
208,149.50502777,-35.58931001
209,147.32575578,-35.73044853
210,149.37320317,-35.19451299
211,151.12663938,-33.9670631
212,151.68758668,-32.43525093
213,153.43889981,-28.83789972
214,147.31693516,-29.16305683
215,146.28726924,-32.16095656
216,149.83568516,-34.35634212
217,150.98961685,-33.81262143
218,149.87063505,-37.07377794
219,143.48365767,-35.14227613
220,151.20942366,-33.88147018
221,152.95162424,-30.46688993
222,146.64315655,-35.90851461
223,145.67767336,-35.37983389
224,149.28125894,-31.26757708
225,150.73621845,-34.04025397
226,148.61319205,-36.42797312
227,148.71592493,-35.9989627
228,147.56638971,-32.65960337
229,147.12150156,-35.25681438
230,145.62407084,-29.29768366
231,150.92170425,-31.10893533
232,151.13756053,-34.04857035
233,149.25407363,-34.80710838
234,151.68089999,-32.97671616
235,150.04861365,-30.65480215
236,150.61359732,-34.20196455
237,152.22693919,-32.39544199
238,148.2062098,-35.30303739
239,150.5708362,-29.87501644
240,153.16942582,-29.798938
241,150.98218307,-34.203624
242,147.76181919,-32.9991714
243,149.72733036,-33.06446234
244,151.75473881,-32.74108748
245,149.00709914,-35.04024419
246,148.17206053,-33.89157062
247,152.06133265,-32.73736297
248,151.17927028,-33.79977281
249,147.70505647,-35.36004836
250,151.19196286,-31.43419984
251,151.08347844,-33.91527487
252,149.85474673,-31.43670255
253,149.4063644,-31.55574998
254,146.04636495,-34.55325364
255,151.1129802,-33.87076648
256,151.10656885,-33.77954149
257,153.50885467,-28.5314071
258,150.60420211,-30.38544765
259,151.41392744,-33.45451111
260,153.18289113,-29.4691996
261,149.52217927,-32.34335795
